"corpus","match_position","left context","match","right_context","text_url","thread_title","thread_postcount","text_date","text_username","thread_lastpost","forum_url","forum_title","thread_url"
"Flashback: Dator & IT","16410852","Vem som helst ska inte kunna ringa till en isp och säga nått i stil med "" tjena jag ringer från skivbolag x , jag har en lista här med 100 ip adresser , skulle du kunna","mejla","mig namnen på ägarna till dessa adresser ? "" .","https://www.flashback.org/p13484094#p13484094","Tråden om IPRED och allt om risken att åka fast, samt tips på skydd [Sammanfogad]","3644","2008-10-29 14:36","MacGyver","2017-03-16 00:09","https://www.flashback.org/f17","Dator och IT > Fildelning","https://www.flashback.org/t902865"
"Flashback: Dator & IT","16433233","Finns det någon person man kan","mejla","och ställa frågor om den här lagen ?","https://www.flashback.org/p13785787#p13785787","Tråden om IPRED och allt om risken att åka fast, samt tips på skydd [Sammanfogad]","3644","2008-11-20 00:02","Reserv","2017-03-16 00:09","https://www.flashback.org/f17","Dator och IT > Fildelning","https://www.flashback.org/t902865"
"Flashback: Dator & IT","16669270","Jag kan inte","mejla","torrentbytes heller , admin borde fan ge dom som skriver rätt kod fast deras system säger att det är fel ett konto .","https://www.flashback.org/p5991040#p5991040","Nu Blir Jag Galen !!!!!!!","28","2007-01-08 20:56","sgt_johansson","2007-01-09 17:44","https://www.flashback.org/f17","Dator och IT > Fildelning","https://www.flashback.org/t426403"
"Flashback: Dator & IT","17171289","Hur kan jag","mejla","med PC till ett mobilnummer .","https://www.flashback.org/p6296246#p6296246","mejla ""SMS"" till mobiltelefon?","8","2007-02-11 00:27","dyngapa","2007-02-11 05:51","https://www.flashback.org/f20","Dator och IT > Telefoni och mobiltelefoner > Telefoni: operatörer","https://www.flashback.org/t443072"
"Flashback: Dator & IT","17227992","jag undrar ju hur man kan "" sms "" a med PCn till en mobil , den jag vill kontakta har ingen uppkoppling hur i helv ... skulle jag kunna","mejla","dem då ?","https://www.flashback.org/p6296705#p6296705","mejla ""SMS"" till mobiltelefon?","8","2007-02-11 01:41","dyngapa","2007-02-11 05:51","https://www.flashback.org/f20","Dator och IT > Telefoni och mobiltelefoner > Telefoni: operatörer","https://www.flashback.org/t443072"
"Flashback: Dator & IT","17260655","Fundera över om du ska","mejla","eller SMS:a din vän , sen kan du söka .","https://www.flashback.org/p6296882#p6296882","mejla ""SMS"" till mobiltelefon?","8","2007-02-11 02:23","Nattskenet","2007-02-11 05:51","https://www.flashback.org/f20","Dator och IT > Telefoni och mobiltelefoner > Telefoni: operatörer","https://www.flashback.org/t443072"
"Flashback: Dator & IT","17385655","Förlåt mig men du har inte varit speciellt tydlig i dina inlägg huruvida du vill","mejla","eller SMS:a .","https://www.flashback.org/p6296882#p6296882","mejla ""SMS"" till mobiltelefon?","8","2007-02-11 02:23","Nattskenet","2007-02-11 05:51","https://www.flashback.org/f20","Dator och IT > Telefoni och mobiltelefoner > Telefoni: operatörer","https://www.flashback.org/t443072"
"Flashback: Dator & IT","17954966","Om du inte nöjer dig med att","mejla","en länk så finns en guide här :","https://www.flashback.org/p42943628#p42943628","Filhantering på Ipad","6","2013-04-14 11:18","RutSvensson","2013-04-14 12:50","https://www.flashback.org/f378","Dator och IT > Surfplattor och läsplattor","https://www.flashback.org/t2123150"
"Flashback: Dator & IT","19105080","Låter ju som skitsnack .. varför skulle någon från Iran","mejla","Mikko liksom .","https://www.flashback.org/p38488304#p38488304","Irans kärnvapendator spelar ACDC - Thunderstruck","30","2012-07-25 15:54","Meir","2012-07-25 23:00","https://www.flashback.org/f81","Dator och IT > IT-säkerhet > IT-säkerhet: datorvirus och skadlig kod","https://www.flashback.org/t1923390"
"Flashback: Dator & IT","19256309","Ska","mejla","dom nu och fråga om dom tar bort konton som blir upptäckta med att ha olagliga filer .","https://www.flashback.org/p45474741#p45474741","Streamza - Tjänst för att strömma videotorrenter direkt till datorn, helt lagligt!","15","2013-09-30 20:36","DenSureOptimisten","2014-12-13 17:15","https://www.flashback.org/f17","Dator och IT > Fildelning","https://www.flashback.org/t2229862"
"Flashback: Dator & IT","19316753","Du kan","mejla","och föreslå kryptering eller liknande om du vill .","https://www.flashback.org/p45474741#p45474741","Streamza - Tjänst för att strömma videotorrenter direkt till datorn, helt lagligt!","15","2013-09-30 20:36","DenSureOptimisten","2014-12-13 17:15","https://www.flashback.org/f17","Dator och IT > Fildelning","https://www.flashback.org/t2229862"
"Flashback: Dator & IT","19754112","ser det att jag får ringa dom eller","mejla","men ringer dom prick 11 imon och får det ändrat till den andra i stället hoppas bara det är bra kvallite , , , , , såg nu att den gtx,en va från nvidia så det va jävlar i mig bra gillar dom","https://www.flashback.org/p50611660#p50611660","planerar att köpa nytt grafik kort!!!","30","2014-10-05 00:38","exztran","2014-10-08 16:18","https://www.flashback.org/f322","Dator och IT > Hårdvara: PC > PC: köpråd - grafikkort","https://www.flashback.org/t2455633"
"Flashback: Dator & IT","19924566","Du kan ju alltid","mejla","support1@zalman.co.kr och fråga .","https://www.flashback.org/p3362782#p3362782","En av grafikkortstrådarna [ Gammal tråd ]","2199","2005-12-11 20:13","WildCard","2010-08-27 10:37","https://www.flashback.org/f322","Dator och IT > Hårdvara: PC > PC: köpråd - grafikkort","https://www.flashback.org/t193291"
"Flashback: Dator & IT","19931913","kan man avbeställa skiten på ( min sida ) på inet eller måste jag ringa dom eller","mejla","dom för att avbeställa ?","https://www.flashback.org/p50611566#p50611566","planerar att köpa nytt grafik kort!!!","30","2014-10-05 00:28","exztran","2014-10-08 16:18","https://www.flashback.org/f322","Dator och IT > Hårdvara: PC > PC: köpråd - grafikkort","https://www.flashback.org/t2455633"
"Flashback: Dator & IT","20204610","Fullständigt uselt , väljer man att bara synas för sina kontakter så fungerar det en gång av tjugo , och då är det långsammare än att","mejla","grejen .","https://www.flashback.org/p45834775#p45834775","Android vs iOS [Tråden där vi diskuterar vilken plattform som är bäst]","42245","2013-10-25 14:47","Proppis","2017-03-01 19:15","https://www.flashback.org/f349","Dator och IT > Telefoni och mobiltelefoner > Telefoni: allmänna diskussioner","https://www.flashback.org/t1859394"
